25 0 - (124.546, 1132.546, 2140.902, 823.174, 0.7)
25 10 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
25 20 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
50 0 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
50 10 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
50 20 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
50 30 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
50 40 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
75 0 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
75 10 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
75 20 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
75 30 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
75 40 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
100 0 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
100 10 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
100 20 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
100 30 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
100 40 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
125 0 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
125 10 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
125 20 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
125 30 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
125 40 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
150 0 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
150 10 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
150 20 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
150 30 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
150 40 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
175 0 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
175 10 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
175 20 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
175 30 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
175 40 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
200 0 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
200 10 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
200 20 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
200 30 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
200 40 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
225 0 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
225 10 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
225 20 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
225 30 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
225 40 - (0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
