250 5 - (492.708, 515.495, 1008.858, 82.295, 0.07, 6.236338947104634) - 0.499221867469 0.00230645612827 0.0027704865583
250 10 - (487.954, 514.183, 1004.106, 80.983, 0.05, 11.6661104322065) - 0.496900569969 0.00532427367089 0.00368121571521
250 15 - (472.499, 512.143, 1002.886, 80.497, 0.02, 19.633569744474592) - 0.511635683693 0.00584121164054 0.00670715204606
250 20 - (463.671, 515.362, 1012.116, 82.836, 0.02, 25.294110378542705) - 0.51138043655 0.00711964166531 0.00635651147593
250 25 - (469.56, 513.607, 942.219, 74.804, 0.07, 32.35829071439852) - 0.506874287444 0.0125529408826 0.0136885986075
225 5 - (441.905, 461.96, 915.66, 72.774, 0.0, 7.064240194977541) - 0.446053534344 0.00232915470448 0.00277932124533
225 10 - (434.865, 461.719, 912.454, 75.521, 0.07, 10.54231749235431) - 0.447407975464 0.0072345144867 0.00288616659132
225 15 - (427.716, 464.707, 889.647, 71.838, 0.07, 14.008071717766422) - 0.449507529456 0.00840219435618 0.00661260391439
225 20 - (418.396, 460.314, 879.235, 71.504, 0.07, 19.176140111296345) - 0.446416482305 0.0107509384428 0.0101899897644
225 25 - (408.537, 459.422, 922.385, 78.929, 0.05, 30.4748730219336) - 0.443601973854 0.00860453274569 0.0114852424356
200 5 - (391.25, 410.46, 802.803, 64.67, 0.05, 5.828720880160972) - 0.40056600236 0.00218957660519 0.00224400649354
200 10 - (382.618, 410.22, 802.174, 64.968, 0.05, 12.180795651373861) - 0.398900912327 0.00506745550293 0.00419334742678
200 15 - (372.293, 456.1, 1848.217, 258.161, 0.17, 25.101124478325833) - 0.392895968961 0.00568287498186 0.00710939906086
200 20 - (373.388, 409.592, 764.325, 60.701, 0.07, 18.97824209969298) - 0.38998401762 0.0120208224885 0.00684938129387
200 25 - (363.207, 410.552, 744.772, 58.352, 0.02, 24.711837764766848) - 0.423373961506 0.0115553021817 0.012455256891
175 5 - (342.094, 360.048, 711.295, 58.681, 0.07, 6.863258424040915) - 0.348828549101 0.00197095383203 0.00278933284423
175 10 - (334.061, 358.312, 708.844, 59.093, 0.07, 11.822553806415135) - 0.349885107344 0.00421962227574 0.00619116482268
175 15 - (322.35, 360.231, 704.265, 57.538, 0.02, 19.41336652087798) - 0.338000965035 0.00582274177022 0.0064531972288
175 20 - (319.672, 363.084, 665.202, 50.892, 0.0, 21.67664195017191) - 0.343826950932 0.0137906114467 0.00853611559958
175 25 - (314.451, 360.007, 670.153, 57.251, 0.1, 26.190252759689226) - 0.361485303141 0.0106390799157 0.0114939322666
150 5 - (294.494, 308.412, 613.637, 52.409, 0.12, 4.828887882635735) - 0.300031788272 0.00190839557709 0.00311973770508
150 10 - (283.533, 307.55, 604.485, 49.628, 0.05, 11.96649989765126) - 0.301447167853 0.00339537125789 0.0026849821243
150 15 - (277.443, 307.686, 592.92, 47.866, 0.05, 11.895351060619356) - 0.303321974555 0.00739829867034 0.00667981424931
150 20 - (277.196, 309.56, 624.614, 52.757, 0.02, 13.73914080568533) - 0.295470597892 0.00950634571954 0.00712690626185
150 25 - (265.302, 314.948, 633.421, 56.507, 0.05, 27.60256402058493) - 0.301545975319 0.00959833413301 0.0140083334075
125 5 - (241.083, 258.097, 511.804, 42.509, 0.07, 5.931321723577615) - 0.248753797038 0.00230801735903 0.00325999580616
125 10 - (233.961, 257.296, 485.117, 37.331, 0.0, 10.150598086726964) - 0.241800388896 0.00460596566052 0.00481880729945
125 15 - (223.2, 254.224, 497.32, 40.74, 0.02, 11.455085836054476) - 0.247650861469 0.00620478350022 0.00648679655368
125 20 - (216.937, 256.725, 522.932, 48.522, 0.12, 21.245057058973426) - 0.241620033302 0.0105812422703 0.00996623833867
125 25 - (216.933, 260.546, 539.942, 48.484, 0.0, 22.464891732709184) - 0.239388149189 0.0135117838018 0.0158521611201
100 5 - (195.931, 201.762, 207.68, 3.277, 0.05, 3.8086880722562624) - 0.198854014652 0.00252092636517 0.00177026253875
100 10 - (182.563, 205.598, 415.164, 35.055, 0.02, 10.37540988782515) - 0.204737611348 0.00357129299299 0.00424537095514
100 15 - (178.984, 204.612, 411.572, 35.572, 0.05, 13.441118216895916) - 0.208651701648 0.00976879066752 0.00882685458764
100 20 - (167.06, 207.643, 403.343, 36.24, 0.05, 18.987892207115824) - 0.19480386805 0.00827341389847 0.00832550873547
100 25 - (157.289, 208.974, 389.119, 35.074, 0.07, 18.545721145571903) - 0.20299358148 0.0147693172146 0.00820129783787
75 5 - (141.538, 154.781, 304.978, 24.732, 0.02, 4.883450515394977) - 0.146871361862 0.00277100596571 0.00198019914277
75 10 - (130.539, 156.39, 310.901, 27.774, 0.12, 10.792733418248648) - 0.157434842521 0.00493636012195 0.00569759175397
75 15 - (128.022, 154.331, 283.401, 24.824, 0.05, 15.311281419904468) - 0.156908333082 0.0078372335901 0.00709638119456
75 20 - (115.608, 183.477, 1331.254, 193.956, 0.07, 31.507588913580506) - 0.155480761535 0.00986559176073 0.00729635857689
75 25 - (105.301, 150.7, 329.424, 35.322, 0.07, 19.66860614604163) - 0.152130092456 0.0154311667415 0.0108904492078
50 5 - (95.185, 104.3, 210.129, 17.824, 0.05, 4.7485958392241026) - 0.0964935722823 0.00269476878832 0.00184092026969
50 10 - (82.207, 100.798, 203.138, 18.938, 0.1, 9.23726487486698) - 0.0971961222577 0.00434769068419 0.00639895368102
50 15 - (71.798, 103.534, 203.719, 21.067, 0.05, 13.730349350223472) - 0.0961537841049 0.00511612949423 0.00425127045393
50 20 - (65.407, 98.985, 133.135, 15.861, 0.02, 16.274611144441437) - 0.100030210284 0.00921270996687 0.0077880196365
50 25 - (54.519, 102.394, 233.763, 31.383, 0.12, 23.547618383886626) - 0.116898018735 0.0123006639084 0.00977033711701
25 5 - (42.421, 52.298, 105.03, 9.389, 0.02, 4.319196293319514) - 0.0489695991088 0.00204482573679 0.00231617011765
25 10 - (34.991, 51.804, 116.436, 13.004, 0.02, 8.087897159001326) - 0.0432106317401 0.00398768146426 0.00503113694707
25 15 - (28.218, 50.12, 107.359, 13.948, 0.02, 13.617359907699608) - 0.0540888864225 0.00905630333077 0.00572488393379
25 20 - (22.751, 52.356, 119.677, 18.841, 0.1, 18.064670908020638) - 0.0487741855783 0.00646345172384 0.010271643449
250 5 - (491.881, 515.355, 1004.911, 82.874, 0.1, 9.658119744354643) - 0.498518097067 0.00286702625445 0.00215499270086
250 10 - (485.466, 515.674, 1023.177, 86.118, 0.1, 12.438781372352388) - 0.499602712695 0.00600807210286 0.00473620000162
250 15 - (482.331, 512.438, 1003.289, 84.66, 0.12, 13.341320623526887) - 0.505160255689 0.00647460379912 0.00598547468786
250 20 - (462.933, 516.342, 985.278, 77.807, 0.02, 18.067133463418894) - 0.510297938301 0.0092688285307 0.0101061821987
250 25 - (456.469, 515.948, 1047.885, 91.087, 0.07, 25.555664551458786) - 0.510829791046 0.0130022783946 0.0118188048342
225 5 - (442.378, 461.952, 909.049, 73.587, 0.05, 6.8125901504456765) - 0.448852185975 0.0025624826634 0.00193381364888
225 10 - (432.473, 462.229, 893.772, 71.58, 0.05, 13.789780899330777) - 0.451561440053 0.00480645873324 0.00417572188105
225 15 - (424.07, 448.163, 474.611, 12.16, 0.05, 13.251751270597344) - 0.440016202609 0.0069268410478 0.00794245243685
225 20 - (423.284, 462.425, 925.258, 75.652, 0.0, 19.472187605165672) - 0.430639214489 0.0104409956939 0.0102953089177
225 25 - (405.942, 457.426, 895.099, 74.386, 0.05, 22.259662299841125) - 0.440270419813 0.0126312705663 0.00924192886167
200 5 - (392.786, 411.61, 803.642, 65.507, 0.07, 8.748272510309903) - 0.394617507279 0.0013692040117 0.00187512898881
200 10 - (382.009, 410.034, 796.304, 66.806, 0.12, 12.474138847441118) - 0.404311572063 0.00502751222564 0.00572887202492
200 15 - (375.609, 413.694, 819.9, 70.932, 0.12, 18.252462552784404) - 0.399678133791 0.00810055061323 0.00794365397678
200 20 - (370.012, 410.28, 780.76, 64.675, 0.1, 23.621780765418794) - 0.408415459116 0.00867245262372 0.00820493808099
200 25 - (357.008, 411.267, 768.175, 62.197, 0.02, 28.871958632810102) - 0.382802085676 0.0121977099799 0.0134516883593
175 5 - (342.789, 361.143, 712.347, 58.676, 0.07, 6.8138818471652405) - 0.349547941415 0.00221389303216 0.00260036056277
175 10 - (335.857, 359.434, 721.044, 60.241, 0.05, 13.220521796339392) - 0.345168590556 0.00350706145846 0.00614517777416
175 15 - (330.461, 359.243, 706.13, 57.874, 0.05, 12.446062323658126) - 0.342925688069 0.00509996657306 0.00570025729364
175 20 - (321.086, 358.538, 688.53, 57.713, 0.1, 19.473975325669407) - 0.333537129669 0.0146571198433 0.0126499922791
175 25 - (322.533, 362.025, 708.656, 57.901, 0.0, 23.033645982534182) - 0.345019000914 0.0158256776473 0.0150059712733
150 5 - (291.76, 340.802, 1605.218, 208.023, 0.0, 16.69181387738004) - 0.298225579578 0.00214251247687 0.00199635265162
150 10 - (286.171, 343.172, 1610.524, 214.05, 0.05, 15.723229161637839) - 0.306312672469 0.00382097460397 0.0035404542485
150 15 - (273.98, 306.091, 619.985, 52.627, 0.02, 15.782318375650123) - 0.297829133036 0.00722981136595 0.00749838650608
150 20 - (270.467, 310.257, 579.777, 46.824, 0.05, 16.726588781407955) - 0.30080075215 0.00657119564988 0.0104734262696
150 25 - (263.972, 308.627, 641.923, 57.584, 0.02, 22.717464093471825) - 0.298503290314 0.00883645823666 0.0151619347718
125 5 - (242.244, 256.698, 504.393, 40.391, 0.02, 6.232826125311084) - 0.252545977918 0.00246942148468 0.00237201376781
125 10 - (235.338, 256.47, 529.234, 45.533, 0.05, 10.953169520962094) - 0.248033146326 0.0073437096511 0.00389661145936
125 15 - (228.712, 256.479, 477.36, 37.091, 0.0, 12.384901365030768) - 0.242905618143 0.00759029136694 0.00477906734499
125 20 - (217.905, 254.968, 489.033, 42.889, 0.07, 18.86765566319819) - 0.255285572251 0.00862046447824 0.00838202583868
125 25 - (206.312, 252.802, 292.351, 19.427, 0.17, 15.839977616786554) - 0.240065907425 0.0128988351957 0.0118271545492
100 5 - (192.105, 205.674, 413.937, 34.964, 0.07, 5.795327057317719) - 0.202534121819 0.00215690410334 0.00223798546771
100 10 - (186.036, 206.612, 423.249, 35.942, 0.02, 9.879199466210133) - 0.192987091522 0.00558089024946 0.00559699256634
100 15 - (170.854, 204.139, 395.599, 34.096, 0.02, 18.166940795915647) - 0.192509582609 0.00660431751902 0.00967454746945
100 20 - (172.982, 210.266, 391.765, 33.818, 0.05, 21.72331536654003) - 0.208985779122 0.00904182425362 0.0100129772018
100 25 - (160.104, 204.036, 407.063, 39.963, 0.02, 25.164344592496345) - 0.198250351495 0.0122503238911 0.0161722840902
75 5 - (141.508, 154.363, 308.724, 26.908, 0.12, 5.873230320906351) - 0.149862204914 0.00190267334974 0.00255853207559
75 10 - (135.929, 155.25, 313.668, 28.674, 0.15, 9.968520676216158) - 0.148402186353 0.00448809241426 0.00268611344715
75 15 - (127.902, 154.98, 338.937, 32.822, 0.07, 14.36628687938718) - 0.143954020872 0.00832961121322 0.00570301419241
75 20 - (125.344, 159.072, 361.47, 35.451, 0.02, 15.55565466148213) - 0.154056718235 0.0114049515237 0.0097294724952
75 25 - (103.547, 149.262, 288.755, 30.908, 0.02, 21.058990215509397) - 0.146194609645 0.012597361885 0.00953225699481
50 5 - (90.781, 103.247, 207.521, 18.144, 0.07, 5.71025812473594) - 0.0998413081327 0.00219098782607 0.00215263887229
50 10 - (82.039, 102.917, 192.639, 17.426, 0.1, 9.118155490940477) - 0.104264898716 0.00495369529005 0.00468529953307
